positionX, positionY, positionZ, phaseX, phaseY, phaseZ, myocyte_index, flag 
40.217157,41.065685,50.500000,4.028787,4.059899,5.074042,0,0
40.782843,40.782843,50.782843,4.054243,4.082527,5.065556,0,0
40.500000,40.217157,51.348528,4.054243,4.040101,5.088184,0,0
40.500000,41.065685,51.348528,4.037272,4.079698,5.082527,0,0
40.782843,40.217157,50.500000,4.068385,4.045757,5.045757,0,0
40.782843,40.782843,50.782843,4.074042,4.068385,5.057071,0,0
40.217157,40.500000,51.348528,4.034444,4.048586,5.091012,0,0
40.782843,40.500000,50.500000,4.059899,4.028787,5.068385,0,0
40.782843,40.217157,50.500000,4.040101,4.025958,5.065556,0,0
39.934315,41.065685,50.217157,4.020302,4.065556,5.045757,0,0
40.217157,40.217157,49.651472,4.017473,4.057071,5.011816,0,0
40.782843,40.217157,50.500000,4.059899,4.034444,5.059899,0,0
40.782843,40.217157,49.934315,4.042929,4.017473,5.014645,0,0
39.934315,41.065685,50.782843,4.040101,4.082527,5.062728,0,0
40.500000,40.217157,50.500000,4.042929,4.045757,5.062728,0,0
40.782843,39.934315,50.500000,4.074042,4.006159,5.034444,0,0
39.934315,41.065685,49.934315,4.028787,4.074042,5.025958,0,0
40.782843,41.348528,51.065685,4.057071,4.074042,5.071213,0,0
39.934315,40.500000,49.368629,4.045757,4.048586,4.992017,0,0
40.782843,39.934315,50.217157,4.076870,4.040101,5.028787,0,0
39.934315,40.500000,49.934315,4.017473,4.065556,5.023130,0,0
41.065685,39.368629,50.217157,4.065556,4.011816,5.034444,0,0
40.782843,40.500000,50.782843,4.054243,4.048586,5.037272,0,0
40.782843,41.065685,50.217157,4.068385,4.076870,5.028787,0,0
41.065685,40.217157,50.500000,4.099497,4.040101,5.074042,0,0
40.217157,40.782843,50.782843,4.025958,4.065556,5.071213,0,0
40.500000,40.500000,50.500000,4.031615,4.037272,5.025958,0,0
39.651472,40.500000,50.782843,4.006159,4.031615,5.068385,0,0
40.500000,40.217157,51.065685,4.048586,4.025958,5.068385,0,0
40.782843,39.934315,50.217157,4.068385,4.017473,5.045757,0,0
40.782843,39.934315,50.217157,4.054243,4.011816,5.045757,0,0
40.217157,40.217157,49.934315,4.040101,4.057071,5.011816,0,0
40.217157,40.500000,50.500000,4.017473,4.051414,5.045757,0,0
39.934315,40.500000,51.348528,4.025958,4.042929,5.105154,0,0
40.782843,40.217157,50.500000,4.057071,4.034444,5.057071,0,0
41.631371,39.934315,50.782843,4.099497,4.031615,5.054243,0,0
40.782843,40.500000,49.934315,4.051414,4.028787,5.020302,0,0
40.500000,40.782843,50.500000,4.042929,4.076870,5.028787,0,0
40.217157,39.934315,50.217157,4.020302,4.034444,5.062728,0,0
41.065685,40.217157,51.065685,4.068385,4.062728,5.082527,0,0
39.934315,39.651472,49.934315,4.023130,4.006159,5.034444,0,0
40.500000,40.782843,51.348528,4.034444,4.074042,5.093841,0,0
41.348528,39.934315,49.934315,4.102326,4.031615,5.028787,0,0
40.217157,41.065685,50.217157,4.028787,4.071213,5.017473,0,0
40.782843,40.217157,50.782843,4.054243,4.065556,5.059899,0,0
41.348528,40.782843,50.782843,4.076870,4.074042,5.071213,0,0
39.934315,40.217157,50.500000,4.040101,4.037272,5.040101,0,0
39.368629,40.217157,51.065685,4.006159,4.048586,5.079698,0,0
40.782843,40.217157,49.934315,4.059899,4.042929,5.025958,0,0
40.500000,39.934315,51.348528,4.023130,3.994846,5.076870,0,0
41.065685,40.782843,50.217157,4.085355,4.059899,5.020302,0,0
40.782843,40.500000,51.065685,4.071213,4.074042,5.074042,0,0
40.500000,40.782843,50.500000,4.054243,4.051414,5.045757,0,0
40.500000,40.217157,49.934315,4.057071,4.025958,5.017473,0,0
41.065685,40.500000,49.651472,4.065556,4.065556,5.017473,0,0
40.500000,40.500000,50.782843,4.040101,4.057071,5.059899,0,0
40.500000,40.217157,50.217157,4.037272,4.037272,5.054243,0,0
39.651472,40.500000,50.782843,4.028787,4.040101,5.074042,0,0
41.348528,40.500000,49.651472,4.107983,4.057071,5.008988,0,0
