positionX, positionY, positionZ, phaseX, phaseY, phaseZ, myocyte_index, flag 
75.558265,16.996825,36.572978,14310.103247,10265.361260,13858.717169,-1,0
52.020815,57.514004,20.260599,10919.129699,13100.262268,13068.645681,0,0
40.141421,59.493903,80.506097,10432.628919,13217.767364,18372.625362,0,0
50.323759,55.414928,52.221825,11234.304162,12939.697420,11904.052126,0,0
40.141421,38.727208,63.535534,9905.299795,7706.319010,15367.891061,0,0
45.978245,69.297267,86.733666,9571.809791,13733.470895,15922.834886,-1,0
50.040916,45.515433,41.473802,10852.144059,9968.475543,10861.516515,0,0
32.102648,53.717872,87.860007,7916.678804,11744.310905,17868.135787,0,0
49.877251,33.918882,44.302229,13768.176374,9032.132400,13758.583909,0,0
9.413923,33.430098,110.238598,5536.416860,5269.013116,21377.651785,-1,0
49.277246,66.355207,67.346558,7472.611086,11908.502933,15712.793572,-1,0
33.234019,30.122749,77.111984,8818.901628,6413.075012,20134.138663,0,0
33.070354,45.798276,75.980613,8936.631387,10068.220026,17574.785467,0,0
50.323759,59.940411,68.343860,9541.640434,12197.508569,18336.896671,0,0
43.535534,38.444365,68.909545,10385.363074,7768.470716,16077.438775,0,0
56.829141,26.162951,49.110556,12374.070945,10387.268486,15476.004860,0,0
64.764341,36.694470,39.225444,15279.397134,6310.163467,14300.544044,-1,0
43.459142,74.414612,78.580051,12629.418519,14083.492543,17282.847656,-1,0
49.192388,27.413499,95.496760,10063.142999,10351.574683,20687.854184,0,0
78.563536,79.324399,32.284627,13353.469304,14510.508138,12821.255592,-1,0
38.161522,53.435029,74.000714,10897.008570,10811.677752,17386.958107,0,0
8.366911,15.682886,12.023629,9698.894557,5182.841873,9329.988961,-1,0
34.464835,75.497461,44.730723,11279.266158,15658.948693,12748.633837,-1,0
33.353196,44.949747,78.243355,7399.158874,11541.949352,18145.149111,0,0
52.988521,54.402735,87.011479,12663.817678,12956.464475,17857.376450,0,0
50.442937,54.968420,64.384062,12446.078604,11752.410184,17155.471146,0,0
28.827713,44.666905,73.435029,7458.531188,10738.571396,15306.030531,0,0
73.967393,57.471221,52.951374,14141.152844,11317.900320,13673.712756,-1,0
52.586501,54.566400,62.687006,12314.897537,9298.373527,18121.868327,0,0
36.440906,6.936587,117.693770,9010.157968,8007.834403,19676.904622,-1,0
53.554206,34.365390,26.765981,10281.967643,7257.668316,8815.143834,0,0
53.717872,44.101219,27.331667,12214.999633,8424.384309,11431.619943,0,0
22.203153,44.949747,77.111984,7597.810171,11574.914670,15635.002062,0,0
20.059589,26.059067,87.363580,9148.722790,10542.306681,18198.337787,-1,0
22.039488,21.875823,69.192388,7061.779533,9928.515318,17424.157581,0,0
47.212489,33.918882,70.606602,10369.450343,9360.385114,17401.575419,0,0
21.190960,24.019387,62.121320,7647.545457,7533.560505,14675.152690,0,0
20.625274,33.353196,23.937554,9659.829090,9703.983666,10005.159291,0,0
65.460778,43.726073,29.673729,14152.240465,13216.913970,14842.779267,-1,0
48.065544,13.833228,32.660286,12502.233572,9883.472500,11743.817906,-1,0
38.161522,57.231162,67.212489,9732.197226,12053.386084,14340.323487,0,0
40.305087,44.384062,59.575736,8767.911046,10462.859149,17730.860905,0,0
39.977756,55.251263,64.101219,11749.972231,10682.813310,13729.448282,0,0
25.716443,37.312994,73.717872,8429.253987,10336.009849,19187.925138,0,0
66.613991,76.262353,93.991258,13101.300414,11849.064605,20297.887317,-1,0
25.597265,23.900209,60.707107,7064.844267,8277.466587,15800.996793,0,0
57.960512,26.847814,47.130657,10081.772265,9813.742062,12559.786185,0,0
48.961434,55.554789,103.390238,13974.963564,11254.176512,19283.053583,-1,0
13.386018,8.733408,86.206235,5287.686238,7658.384371,16006.752648,-1,0
